"id","submitdate","lastpage","startlanguage","D0Q1[SQ001]","D0Q1[SQ004]","D0Q1[SQ005]","D0Q1[SQ006]","D0Q1[SQ007]","D0Q1[SQ008]","D0Q1[SQ009]","D0Q1[SQ010]","D0Q1[SQ003]","D0Q1[SQ014]","D0Q1[SQ002]","D0Q1[SQ011]","D0Q1[SQ012]","D0Q1[SQ013]","D0Q2[0]","D0Q2[1]","D0Q2[2]","D0Q2[3]","D0Q2[4]","D0Q2[5]","D0Q2[6]","D0Q2[7]","D0Q2[8]","D0Q22[9]","D0Q22[10]","D0Q22[11]","D0Q22[12]","D0Q22[13]","D0Q22[14]","D0Q22[15]","D0Q3","D0Q4","D0Q5[1]","D0Q5[2]","D0Q5[3]","D0Q5[4]","D0Q5[5]","D0Q5[6]","D0Q5[7]","D0Q5[8]","D0Q5[9]","D0Q5F[1]","D0Q5F[2]","D0Q5F[3]","D0Q5F[4]","D0Q5F[5]","D0Q5F[6]","D0Q5F[7]","D1Q7","D1Q8","D2Q10","D2Q12","D2Q12[comment]","D0Q13","D0Q13[comment]","D1Q14[1]","D1Q14[2]","D1Q14[3]","D1Q14[4]","D1Q14[5]","D1Q14[6]","D1Q14[7]","D1Q14[other]","D3Q15","D3Q16","D2Q25","D2Q26","D5Q27","D3Q17","D4Q18","D5Q19","D5Q19[comment]","D1Q20","D5Q21","D5Q22[1]","D5Q22[2]","D5Q22[3]","D5Q22[4]","D5Q22[5]","D5Q22[6]","D5Q22[7]","D5Q22[8]","D5Q22[9]","D5Q22[10]","D5Q22[11]","D5Q22[other]","D2Q23","D3Q24","D4Q28","D4Q9[1]","D4Q9[2]","D4Q9[3]","D4Q9[4]","D4Q9[5]","D4Q9[6]","D4Q9[7]","D4Q9[8]","D4Q9[9]","D4Q9[10]","D4Q9[11]","D4Q9[12]","D4Q9[13]","D4Q9[14]","D4Q9[other]","D2Q6","D2Q6[comment]","D2Q11[1]","D2Q11[2]","D2Q11[3]","D2Q11[4]","D2Q11[5]","D2Q11[6]","D4Q29","Demo1","Demo2","Demo3","Demo3[other]","Demo4","Demo4[other]","Demo5","Demo6","Demo7","Other1","interviewtime","groupTime765","D0Q1Time","D0Q2Time","D0Q22Time","D0Q3Time","D0Q4Time","D0Q5Time","D0Q5FTime","groupTime766","D1Q7Time","D1Q8Time","D2Q10Time","D2Q12Time","D0Q13Time","groupTime768","D1Q14Time","D3Q15Time","D3Q16Time","D2Q25Time","D2Q26Time","D5Q27Time","groupTime769","D3Q17Time","D4Q18Time","D5Q19Time","D1Q20Time","D5Q21Time","D5Q22Time","D2Q23Time","D3Q24Time","groupTime771","D4Q28Time","D4Q9Time","D2Q6Time","D2Q11Time","D4Q29Time","groupTime772","Demo1Time","Demo2Time","Demo3Time","Demo4Time","Demo5Time","Demo6Time","Demo7Time","Other1Time"
"217","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","1","1","1","1","1","5","1","1","1","5","5","1","1","1","1","1","","5","1","1","1","1","5","1","1","1","Nutze ich nicht","5","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Ja","3","Ja","","Weiß nicht","","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Weiß nicht","","","","","Nein","Ja","","","Weiß nicht","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","1","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Weiß nicht","","3","3","3","5","3","5","3","N/A","63.0000000000","Bachelor/Master/Diplom","","Berufstätig","","3","2","Nein","","936.68","558.17","","","","","","","","77.73","","","","","","50.48","","","","","","","79.3","","","","","","","","","120.36","","","","","","50.64","","","","","","","",""
"218","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","5","1","5","3","5","1","5","5","1","1","2","5","2","1","1","1","2","Handy
dienstlich","5","1","5","4","5","5","Nutze ich nicht","5","Nutze ich nicht","Nutze ich nicht","5","5","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Ja","2","Ja","Safari","Ja","","Nein","Nein","Nein","Ja","Nein","Nein","Nein","","Weiß nicht","","","","","Nein","Ja","","","Ja","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","2","3","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Nein","","Nein","","3","2","2","3","2","3","3","weiblich","45.0000000000","Realschulabschluss","","Nicht Berufstätig","","2","2","Nein","","893.08","347.01","","","","","","","","81.1","","","","","","114.08","","","","","","","77.48","","","","","","","","","204.79","","","","","","68.62","","","","","","","",""
"219","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","5","5","2","5","2","4","1","3","5","5","2","5","1","1","3","2","Email Adresse mit echten Namen und einmal ohne echten Namen","5","5","5","2","5","5","2","Nutze ich nicht","4","4","5","2","5","Nutze ich nicht","5","Nutze ich nicht","Ja","Ja","3","Ja","","Ja","gut","Nein","Nein","Nein","Nein","Ja","Ja","Nein","","Ja","kein nerviges Zeug was mich nicht interressiet","","","","Weiß nicht","","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","5","5","3","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Ja","Ja","Ja","","Nein","","2","3","1","5","5","4","1","männlich","24.0000000000","Abitur/Fachabitur","","Student/-in","","5","5","Ja","","886.61","422.04","","","","","","","","89.36","","","","","","60.47","","","","","","","97.81","","","","","","","","","164.18","","","","","","52.75","","","","","","","",""
"220","1980-01-01 00:00:00","6","de","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","5","1","5","5","3","2","4","1","1","1","1","4","4","1","2","4","1","","5","Nutze ich nicht","5","4","2","4","1","2","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","3","Nutze ich nicht","5","1","Ja","Ja","3","Ja","Yahoo","Ja","""hat sich so eingebürgert"".","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Weiß nicht","","","","","Nein","Ja","","","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","2","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","","4","4","3","4","5","5","3","männlich","47.0000000000","Hauptschulabschluss","","Berufstätig","","4","3","Nein","","289.44","116.47","","","","","","","","40.81","","","","","","24.44","","","","","","","35.29","","","","","","","","","47.08","","","","","","25.35","","","","","","","",""
"221","1980-01-01 00:00:00","6","de","Nein","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","5","5","4","5","3","2","5","2","1","3","5","3","3","4","1","1","2","privbat / ebay Seller","5","5","4","5","4","5","3","3","2","2","5","2","3","3","4","1","Ja","Ja","2","Ja","","Ja","","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Ja","","","","","Nein","Ja","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","2","3","2","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Nein","","Nein","","4","1","2","4","4","3","3","männlich","33.0000000000","Bachelor/Master/Diplom","","Berufstätig","","2","3","Nein","","393.45","189.57","","","","","","","","42.2","","","","","","22.82","","","","","","","44.67","","","","","","","","","62.89","","","","","","31.3","","","","","","","",""
"223","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","4","1","1","1","1","1","2","1","1","1","1","3","1","1","1","1","0","","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","3","Ja","yahoo","Ja","Startseite einfach ohne schnörkel","Nein","Nein","Nein","Nein","Nein","Nein","Nein","mit allen, die möglich sind","Nein","","","","","Nein","Ja","","","Weiß nicht","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","verwende nur google suche","2","2","1","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Weiß nicht","","2","1","2","2","1","2","4","weiblich","68.0000000000","Bachelor/Master/Diplom","","In Rente","","3","3","Nein","","934.95","225.45","","","","","","","","326.97","","","","","","66.34","","","","","","","93.58","","","","","","","","","139.09","","","","","","83.52","","","","","","","",""
"224","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","2","2","1","2","1","2","1","1","1","1","2","4","1","2","1","1","","5","Nutze ich nicht","1","1","2","2","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Weiß nicht","2","Ja","","Ja","Bequemlichkeit/ starseite","Ja","Ja","Ja","Nein","Ja","Nein","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","3","Nein","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Nein","","Nein","","3","2","3","3","3","3","3","männlich","20.0000000000","Abitur/Fachabitur","","Student/-in","","5","3","Ja","","525.66","210.52","","","","","","","","79.75","","","","","","34.1","","","","","","","52.68","","","","","","","","","104.55","","","","","","44.06","","","","","","","",""
"227","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","4","4","2","1","4","2","3","1","1","1","1","2","2","1","1","3","1","","5","4","2","1","5","4","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","3","Nutze ich nicht","2","Nutze ich nicht","Ja","Weiß nicht","2","Ja","Bing","Ja","Wenn ich auf Bing nichts finde dann Suche ich es nochmal mit Google","Nein","Nein","Ja","Nein","Ja","Nein","Nein","","Weiß nicht","","","","","Weiß nicht","","","","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","3","3","2","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","","Nein","","4","2","3","5","5","5","2","weiblich","24.0000000000","Abitur/Fachabitur","","Student/-in","","1","1","Nein","","1362.46","525.34","","","","","","","","95.35","","","","","","120.54","","","","","","","273.27","","","","","","","","","207.8","","","","","","140.16","","","","","","","",""
"228","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","5","5","3","5","2","5","1","1","5","3","2","2","1","1","4","mehr als 2","Google weiß alles, aber das heißt ja nicht, dass andere auch wissen müssen wo ich überall bin .. ausserdem Selbstverwirrung mit mehr Passwörtern","4","5","4","2","5","4","2","Nutze ich nicht","Nutze ich nicht","5","3","1","1","Nutze ich nicht","3","Nutze ich nicht","Ja","Ja","3","Ja","Bing, Yahoo und den ganzen Dreck","Ja","Google weiß eh schon alles","Nein","Nein","Nein","Nein","Nein","Nein","Nein","bestimmt","Weiß nicht","","","","","Weiß nicht","","","","Ja","Nein","Ja","Ja","Ja","Ja","Ja","Nein","Ja","Nein","Nein","Ja","Ja","","3","2","2","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","","2","1","1","2","2","2","3","männlich","25.0000000000","Realschulabschluss","","Berufstätig","","2","2","Nein","","5316.13","4796.97","","","","","","","","60.3","","","","","","93.46","","","","","","","110.4","","","","","","","","","133.99","","","","","","121.01","","","","","","","",""
"229","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","5","1","1","5","2","1","3","1","1","1","1","2","1","1","1","1","0","","5","Nutze ich nicht","Nutze ich nicht","3","1","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Weiß nicht","1","Ja","","Ja","weil es einfach und umfassend ist.","Ja","Ja","Ja","Ja","Ja","Ja","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","1","2","1","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","Ja","Werbung, die nebenher z.b. bei facebook erscheint bezieht sich auf eine vorausgegangene google-suche","3","3","3","3","4","3","3","N/A","53.0000000000","Realschulabschluss","","Nicht Berufstätig","","2","1","Nein","","1132.75","335.22","","","","","","","","93.75","","","","","","91.84","","","","","","","171.87","","","","","","","","","394.39","","","","","","45.68","","","","","","","",""
"231","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","5","4","1","4","1","3","1","1","1","1","1","1","1","1","1","1","","5","4","3","Nutze ich nicht","4","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","1","Ja","","Ja","Aus Gewohnheit","Ja","Nein","Nein","Ja","Ja","Nein","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","2","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Ja","Ja","Nein","Ja","Nein","","Nein","","5","1","3","4","3","4","2","weiblich","25.0000000000","Bachelor/Master/Diplom","","Student/-in","","1","1","Nein","","294.79","118.67","","","","","","","","33.1","","","","","","27.05","","","","","","","34.7","","","","","","","","","54.65","","","","","","26.62","","","","","","","",""
"232","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Ja","Nein","3","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","1","","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","1","Ja","","Ja","Weil eine große Datenbank dahinter steht","Ja","Nein","Ja","Ja","Ja","Ja","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Ja","","1","1","1","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","Ja","Wissen über mich und die plötzlichen spezifischen Angebote","1","1","1","1","1","1","5","männlich","76.0000000000","Bachelor/Master/Diplom","","In Rente","","3","3","Nein","","567.56","183.99","","","","","","","","69.53","","","","","","28.94","","","","","","","69.85","","","","","","","","","139.66","","","","","","75.59","","","","","","","",""
"234","1980-01-01 00:00:00","6","de","Nein","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Ja","5","4","1","1","1","2","1","4","1","1","1","4","3","1","1","1","0","","5","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","2","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","5","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Ja","4","Nein","","","","Ja","Ja","Ja","Nein","Nein","Nein","Nein","","Weiß nicht","","","","","Ja","","Nein","","Weiß nicht","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","4","4","1","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","habe keine negativen Erfahrungen","5","3","5","5","4","5","2","männlich","72.0000000000","Bachelor/Master/Diplom","","In Rente","","2","2","Nein","","724.03","228.79","","","","","","","","53.01","","","","","","51.18","","","","","","","105.37","","","","","","","","","213.46","","","","","","72.22","","","","","","","",""
"235","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","4","1","1","1","1","1","3","1","1","1","1","3","3","1","1","1","0","","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","2","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","2","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","2","Weiß nicht","","","","Nein","Nein","Ja","Ja","Ja","Nein","Nein","","Nein","","","","","Weiß nicht","","","","Weiß nicht","Weiß nicht","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","2","2","1","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","","Weiß nicht","","2","1","2","2","2","2","3","weiblich","55.0000000000","Realschulabschluss","","Berufstätig","","2","2","Nein","","3470.35","2946.41","","","","","","","","236.21","","","","","","32.06","","","","","","","85.37","","","","","","","","","128.47","","","","","","41.83","","","","","","","",""
"236","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","2","5","2","3","2","4","1","1","2","4","2","2","1","1","4","1","","5","1","5","2","4","5","2","Nutze ich nicht","Nutze ich nicht","1","3","1","1","1","4","Nutze ich nicht","Ja","Ja","1","Ja","","Ja","oft beste Ergebnisse und am besten angeordnet","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","2","2","2","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Ja","Ja","Nein","Ja","","Nein","","3","1","1","3","4","3","2","männlich","23.0000000000","Abitur/Fachabitur","","Student/-in","","2","1","Nein","","456.28","182.44","","","","","","","","57.88","","","","","","35.61","","","","","","","53.09","","","","","","","","","92.06","","","","","","35.2","","","","","","","",""
"239","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","1","5","5","5","2","5","1","5","5","5","5","2","5","5","5","5","1","","1","5","5","5","2","2","5","5","5","5","3","2","3","5","5","5","Ja","Ja","1","Ja","","Ja","Sehr gute Suchmaschine","Ja","Ja","Ja","Nein","Ja","Nein","Nein","","Nein","","Ja","Nein","","Nein","Ja","","","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","1","1","4","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Ja","Nein","","Ja","","3","5","2","5","3","4","5","männlich","29.0000000000","Bachelor/Master/Diplom","","Berufstätig","","4","5","Ja","","375.15","117.63","","","","","","","","82.38","","","","","","33.59","","","","","","","39.54","","","","","","","","","63.28","","","","","","38.73","","","","","","","",""
"240","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","1","1","1","4","1","5","2","5","5","5","5","5","5","4","5","3","1","","5","5","5","2","5","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","3","Nutze ich nicht","Ja","Ja","3","Ja","Bing","Ja","Am einfachsten","Ja","Ja","Ja","Ja","Ja","Nein","Nein","","Nein","","Nein","","","Nein","Ja","","","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","3","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","","3","2","1","3","5","2","4","weiblich","24.0000000000","Abitur/Fachabitur","","Student/-in","","3","1","Nein","","1247.82","855.54","","","","","","","","83.85","","","","","","37.11","","","","","","","53.93","","","","","","","","","56.31","","","","","","161.08","","","","","","","",""
"241","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","1","5","1","5","3","5","2","5","5","5","5","4","1","1","5","5","2","Android","5","1","5","Nutze ich nicht","3","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Ja","2","Nein","","","","Nein","Nein","Nein","Nein","Nein","Nein","Nein","?","Weiß nicht","","Nein","","","Ja","","Weiß nicht","","Weiß nicht","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","keine","3","3","4","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Nein","","4","3","1","4","4","3","2","weiblich","42.0000000000","Abitur/Fachabitur","","Berufstätig","","1","2","Nein","","421.49","170.91","","","","","","","","22.74","","","","","","33","","","","","","","46.49","","","","","","","","","111.14","","","","","","37.21","","","","","","","",""
"242","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","1","5","5","5","1","5","1","5","5","5","5","5","5","5","5","5","0","","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","1","Ja","Yahoo
Bing","Ja","Ich nutze teilweise auch andere Suchmaschinen. DIe Google-Suche nutze ich meist aus Gewohnheit und die Ergbenisse der Suche sind oft besser als die von anderen Anbietern. ","Ja","Ja","Ja","Ja","Ja","Ja","Nein","","Nein","","Weiß nicht","","","Nein","Ja","","","Weiß nicht","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","1","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","Nein","","2","2","2","2","2","2","2","männlich","24.0000000000","Bachelor/Master/Diplom","","Student/-in","","3","2","Nein","","478.98","119.57","","","","","","","","145.89","","","","","","32.55","","","","","","","47.69","","","","","","","","","101.68","","","","","","31.6","","","","","","","",""
"243","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","5","1","1","1","2","1","5","1","1","1","1","3","1","1","1","1","0","","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","1","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Weiß nicht","1","Ja","Yahoo, Bing","Ja","Suchergebnisse treffen oft besser.","Ja","Ja","Ja","Ja","Ja","Ja","Nein","alle die bezahlen","Weiß nicht","","","","","Nein","Ja","","","Weiß nicht","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","ich wüßte nicht wo","1","1","3","Ja","Ja","Nein","Ja","Ja","Ja","Ja","Ja","Ja","Nein","Ja","Ja","Ja","Nein","","Nein","","1","1","1","1","1","1","5","männlich","49.0000000000","Bachelor/Master/Diplom","","Berufstätig","","3","3","Nein","Grundsätzlich ist im Internet nichts anonym. Nur der Aufwand Rückschlüsse aus erreichbaren Daten zu gewinnen ist unterschiedlich hoch. Insofern richtet sich der Aufwand nach dem Interesse an der fraglichen Person. Der Aufwand für Recherchen der Daten im Internet ist grundsätzlich um Größenordnungen geringer als im realen Leben. Arbeiten im Internet: so wenig wie möglich, so viel wie nötig.","2091.63","219.34","","","","","","","","176.96","","","","","","96.74","","","","","","","118.55","","","","","","","","","231.88","","","","","","1248.16","","","","","","","",""
"244","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","4","2","2","3","1","1","4","1","1","1","1","2","1","1","1","1","1","","4","2","2","4","1","4","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","3","Ja","Yahoo; Search; Bing;","Ja","komme damit am Besten zurecht, ","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","Nein","","","","","Weiß nicht","","","","Ja","Weiß nicht","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","3","3","1","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","","4","1","1","4","1","4","3","weiblich","48.0000000000","Realschulabschluss","","Berufstätig","","2","2","Nein","","818.07","270.34","","","","","","","","155.21","","","","","","84.43","","","","","","","81.82","","","","","","","","","159.14","","","","","","67.13","","","","","","","",""
"245","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Ja","Ja","Ja","Ja","Nein","Ja","Nein","4","1","5","1","4","1","4","1","1","1","1","3","3","1","1","3","2","Bei dem einen hab ich keine Zugriffsrechte mehr auch nicht auf mein 
E-mail-account","4","Nutze ich nicht","4","Nutze ich nicht","3","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","3","3","Nutze ich nicht","3","Nutze ich nicht","Ja","Ja","1","Nein","","","","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Autoanbieter","Nein","","","","","Nein","Ja","","","Weiß nicht","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","","1","1","2","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Ja","Ja","","Nein","Nein, mein Bild von meiner eigenen Privatsphäre war davor schon gestört. Wir leben in einer viel zu kranken Welt.","1","1","1","1","4","2","5","männlich","20.0000000000","Realschulabschluss","","Berufstätig","","3","3","Nein","","498.72","214.36","","","","","","","","31.75","","","","","","35.34","","","","","","","42.29","","","","","","","","","121.92","","","","","","53.06","","","","","","","",""
